win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
1.0,6,-2,5,8,5,1,0,-8,-8,0,3,-5,-8,-3,7,7,1,-16,-3,-8,-12,10,0,8,4,-1,4,SAC,NOP,2018-12-23
0.0,-7,-2,-5,-1,-5,-5,-9,-9,-18,-7,1,2,-1,-3,-1,-3,0,0,-1,0,-27,-14,2,-17,-1,0,-5,PHX,LAC,2019-01-05
1.0,10,12,5,9,10,5,3,7,10,8,6,0,-2,-10,15,11,7,8,11,4,34,19,0,12,3,-1,16,MIL,MIA,2019-01-16
0.0,-4,0,-8,-4,2,1,-4,-1,-5,-4,0,5,4,2,3,4,0,4,0,2,-2,-14,0,-2,6,0,5,CHI,CLE,2019-01-27
1.0,0,1,10,-1,4,8,-6,-4,-10,7,8,1,-2,-10,16,7,7,14,2,7,15,10,1,-6,-3,0,15,POR,SAS,2019-02-08
0.0,-8,-2,6,4,2,-3,-10,-3,-13,-3,-3,0,0,0,-8,-5,-4,-12,-10,-6,-15,2,0,1,-2,0,-7,DET,ATL,2018-12-23
0.0,0,-10,-14,-3,-5,-3,-1,-7,-8,-14,0,-8,2,2,-7,-4,-2,-10,0,-5,-25,-10,0,-11,0,0,-12,CLE,UTA,2019-01-05
1.0,-10,-4,1,1,20,13,6,11,17,4,-8,-1,-9,8,2,-1,1,-2,-5,-1,-5,0,-1,7,6,-1,-6,UTA,DET,2019-01-15
1.0,4,-1,14,5,4,1,4,-7,-3,5,4,3,-3,-3,-4,-6,-3,-10,-6,-5,17,11,-2,-7,5,-1,-1,UTA,MIN,2019-01-26
0.0,6,-10,2,-3,4,0,7,-7,0,-3,1,-12,-2,1,-38,-20,-14,-14,2,-7,-20,-5,0,11,2,0,-10,NOP,TOR,2019-03-09
0.0,9,2,4,2,-13,-10,0,-2,-2,4,6,4,8,-3,6,4,1,6,7,3,1,14,1,1,-6,0,-4,PHX,LAC,2018-12-11
1.0,4,8,13,10,-12,-14,-2,1,-1,7,0,3,7,-1,10,3,4,-6,0,-3,20,7,0,-1,1,1,5,NYK,SAS,2019-02-25
1.0,10,0,14,5,-6,-4,5,1,6,-4,-1,3,-1,-2,-10,1,-5,-14,-5,-7,4,0,0,2,0,2,-8,CHA,WAS,2019-03-09
0.0,16,8,-8,-6,-20,-16,0,-7,-7,-4,0,-1,8,-8,3,4,0,8,4,4,2,-15,0,-3,-5,0,11,SAC,UTA,2018-10-18
1.0,-1,22,-3,0,-15,-16,6,23,29,13,-9,4,6,13,14,10,7,44,3,22,32,26,0,8,-1,-3,5,IND,MEM,2018-10-17
1.0,-3,-1,4,5,6,8,5,10,15,8,-6,0,-1,7,-6,-5,-2,-14,-8,-7,16,9,-2,8,5,1,-11,DET,WAS,2018-12-27
0.0,4,1,14,8,-21,-12,0,5,5,11,-4,-3,7,6,-6,-6,-3,-2,0,-1,15,0,1,2,-9,0,-20,CHA,NYK,2018-12-15
1.0,-5,3,-6,-3,7,5,0,9,9,3,-2,-5,-4,2,2,2,0,10,5,5,11,-12,-1,-2,7,-1,4,PHI,MEM,2018-12-02
0.0,-9,-5,-2,-3,-6,-7,-5,-3,-8,1,-7,8,1,8,-13,-8,-6,-18,-11,-9,-23,1,1,-5,1,0,0,GSW,TOR,2018-12-13
1.0,-4,3,9,8,6,2,-1,7,6,8,-3,1,-1,1,6,-3,1,-6,-5,-3,19,11,0,6,1,-1,1,HOU,CHI,2018-12-02
1.0,0,2,-1,-1,-7,-2,-9,2,-7,3,-1,-1,5,1,-2,2,1,2,2,1,14,-1,0,-12,2,0,-6,PHI,NOP,2018-11-22
1.0,-11,4,-9,-4,8,4,3,14,17,-2,-7,1,1,8,-7,-4,-3,12,1,6,12,-10,0,3,4,1,-18,UTA,BOS,2018-11-10
0.0,-2,-7,-10,-13,8,2,4,-9,-5,-9,-3,-4,-10,2,1,-3,0,16,9,8,-45,3,0,5,8,0,5,CHI,GSW,2018-10-30
0.0,2,-5,5,-1,2,1,4,-4,0,-3,-1,-3,-1,1,-11,-7,-5,-10,-3,-5,-21,6,-1,7,6,0,-16,DET,MIL,2019-01-30
1.0,2,4,-4,2,-9,-1,-7,0,-7,2,0,-3,2,-5,-10,-3,-4,2,2,1,-2,4,0,-6,1,2,1,MEM,NOP,2019-02-10
1.0,6,2,-9,0,-1,4,9,9,18,3,-7,-1,1,6,-9,-5,-3,18,26,9,-4,6,1,10,-1,-1,-11,ATL,MIN,2019-02-28
0.0,-13,-1,-5,1,4,-4,-6,-3,-9,5,1,2,8,2,15,4,6,4,-5,2,4,0,0,-16,-1,-1,3,WAS,BOS,2018-12-13
1.0,0,8,-9,-1,-2,-4,0,1,1,3,-1,-1,4,1,18,6,6,22,12,11,3,0,-3,0,5,1,0,LAL,DAL,2018-12-01
1.0,-6,0,-3,4,1,0,1,5,6,7,-1,1,-4,2,-9,3,-5,-6,1,-3,17,22,1,3,-5,0,-6,SAC,OKC,2018-11-20
0.0,-14,-10,-7,1,-5,-4,-5,-3,-8,-2,-6,-1,-1,6,-16,-10,-7,-50,-29,-25,-25,-1,0,-8,-5,0,-17,GSW,MIL,2018-11-09
1.0,-1,5,-3,-1,8,-2,-1,0,-1,1,6,0,-8,-7,16,3,6,8,3,4,22,-35,2,-2,5,0,8,OKC,PHX,2018-10-28
1.0,10,4,-10,-4,8,5,7,0,7,14,1,-3,-11,-3,7,4,4,10,14,5,12,1,-1,14,8,0,8,POR,HOU,2019-01-06
1.0,4,2,12,5,-2,-2,3,5,8,-3,2,0,1,0,23,-2,6,-16,-17,-8,-9,-5,1,14,6,0,8,GSW,NOP,2019-01-17
1.0,9,5,11,4,-10,-5,5,0,5,6,-2,4,5,2,-12,-4,-4,8,4,4,6,16,1,15,0,-2,-5,CHA,NYK,2019-01-29
1.0,1,7,19,9,0,-3,4,12,16,5,0,0,0,2,3,1,1,12,-1,6,15,7,1,5,3,0,-2,UTA,SAS,2019-02-09
0.0,3,0,-3,-5,5,4,-1,-3,-4,6,6,0,0,-6,11,5,4,16,14,8,-10,5,0,-9,4,0,9,NOP,PHI,2019-02-26
1.0,8,7,6,3,-2,-8,8,6,14,7,0,0,-4,3,11,5,5,16,13,8,16,7,1,12,3,1,-8,MIA,POR,2018-10-28
1.0,20,8,10,3,-6,-6,5,-6,-1,8,3,2,1,-10,2,4,2,16,12,8,12,19,0,14,-1,1,24,DEN,CHA,2019-01-05
1.0,1,6,4,-1,-11,-8,-1,5,4,7,4,4,6,0,4,3,1,8,-8,4,7,-1,1,-5,0,0,10,POR,DAL,2018-12-24
1.0,-2,-3,-9,-2,12,13,6,4,10,-3,-2,1,-5,-1,-3,-3,-1,0,6,0,0,4,0,4,2,2,-3,DET,ORL,2019-01-17
1.0,3,5,-5,1,-3,-5,2,1,3,7,-1,5,-1,-3,7,5,3,0,-11,0,11,9,0,1,5,1,9,OKC,MIL,2019-01-27
1.0,-4,10,-3,0,-9,-7,-7,3,-4,14,4,1,3,2,10,5,4,6,-12,3,17,0,0,1,2,0,4,WAS,CLE,2019-02-09
1.0,-4,-3,10,7,17,7,4,4,8,1,-3,-1,-12,5,-3,-4,-2,-4,4,-2,18,8,-1,3,7,-1,-8,BKN,PHX,2018-12-23
0.0,-1,-1,-1,-2,-1,-4,2,3,5,0,-2,2,6,2,-1,0,-1,10,5,5,3,14,1,3,6,1,-7,NYK,SAC,2019-03-09
1.0,1,-1,15,8,5,-2,3,2,5,5,0,-4,-3,1,0,-1,0,-10,-3,-5,15,4,0,-3,4,0,-9,DET,IND,2019-02-26
0.0,16,-7,23,2,0,-7,13,-15,-2,1,3,5,6,-6,-4,4,-3,-10,-1,-5,-28,-3,0,7,-6,-2,1,HOU,POR,2018-10-31
1.0,-2,3,-4,-1,7,9,-4,5,1,5,0,-1,-2,-3,0,-2,0,2,-4,1,22,8,-1,0,2,1,11,MEM,ATL,2018-10-20
1.0,-8,0,3,1,18,18,6,10,16,2,6,2,-6,1,17,6,6,0,-7,0,21,-1,0,7,0,0,14,PHI,CHI,2018-10-19
1.0,-8,-1,-2,2,8,9,2,5,7,-3,-1,-4,-1,-1,1,-7,1,0,-2,0,27,3,0,1,-5,3,0,LAC,SAC,2018-12-27
0.0,0,-10,-5,-7,-6,-1,-1,-13,-14,-12,-9,0,-1,3,-16,-6,-7,-24,-5,-12,-34,19,-1,-3,-5,-1,-1,CHA,LAL,2018-12-16
1.0,7,11,14,7,-19,-17,-6,0,-6,4,2,7,4,-7,4,4,1,16,1,8,16,-1,-1,-9,-8,1,10,TOR,CLE,2018-10-17
1.0,-2,4,16,4,-12,-10,-2,6,4,5,0,4,6,4,0,3,2,0,-8,0,2,20,1,8,-2,-1,0,BKN,CHA,2018-12-27
0.0,-7,-6,16,1,3,-1,6,-4,2,-16,-2,3,-1,9,5,2,3,-10,-14,-5,-2,-24,0,2,-1,0,-21,PHI,IND,2018-12-15
0.0,9,-12,7,-1,-1,-2,3,-14,-11,-7,0,-5,-6,-2,-1,1,-1,-10,11,-5,-33,-3,1,0,5,2,-5,DET,OKC,2018-12-04
0.0,1,-4,-3,-1,9,8,6,-3,3,0,0,-2,-5,-1,5,4,3,-4,0,-2,-6,-6,-1,4,-3,1,0,SAS,MEM,2018-11-22
1.0,-20,5,-5,5,-1,0,-22,7,-15,14,0,3,4,0,-4,-5,-2,4,-4,2,18,31,-1,-18,5,0,-4,DAL,OKC,2018-11-11
1.0,1,2,-3,1,2,4,3,8,11,-6,-1,-3,0,2,-3,-5,-2,16,15,8,11,-7,1,6,2,0,0,DET,WAS,2019-02-12
1.0,-8,3,-10,1,4,-1,-8,-5,-13,6,1,5,-5,-5,-1,-1,0,6,-4,3,7,-13,-1,-2,5,0,4,LAL,NOP,2019-02-28
1.0,11,0,15,1,3,5,8,2,10,5,-2,2,-7,-2,5,3,1,8,0,4,5,-3,0,7,1,0,-1,ORL,CHI,2018-12-14
1.0,0,-1,-14,-1,4,8,-3,-5,-8,12,8,-1,-2,-5,-3,-4,-1,-22,-13,-11,6,7,0,-9,-1,-1,11,SAS,DAL,2018-10-30
1.0,-6,-1,-12,-2,4,6,-5,7,2,-5,-5,-2,-7,0,-4,-8,-2,0,-1,0,8,25,0,-4,-5,1,-10,LAC,MIL,2018-11-10
0.0,24,-1,9,4,-13,-6,8,-13,-5,-5,1,-7,2,-12,-2,-3,-1,-24,-1,-12,6,18,1,6,-9,0,13,CLE,LAL,2018-11-22
1.0,-1,9,-6,-2,12,8,4,12,16,2,-3,-4,-7,4,3,-1,1,16,5,8,16,-4,-1,10,4,-1,-8,LAL,PHX,2018-12-02
0.0,6,-1,12,2,-15,-12,0,-1,-1,-2,0,-3,7,1,1,-2,0,18,15,9,-6,-6,0,-7,1,3,-8,DET,SAS,2019-01-08
1.0,5,-4,4,3,-1,10,1,-4,-3,-2,4,-4,0,-8,3,-2,1,-20,-4,-10,11,0,0,-10,-9,1,8,DET,MIA,2019-01-19
0.0,11,-6,25,10,-1,-3,2,-12,-10,-5,3,-4,3,-5,-2,0,-1,-30,-8,-15,3,-18,0,-1,5,0,14,HOU,NOP,2019-01-30
1.0,1,-6,8,3,9,10,-1,-8,-9,-4,-1,-1,-6,-4,8,4,1,-14,-3,-7,-9,-7,0,5,3,1,14,DAL,POR,2019-02-10
1.0,-6,-2,-7,1,2,4,4,7,11,-1,-3,3,10,5,-4,-6,-3,4,1,2,20,31,0,1,-3,-1,-8,MIA,GSW,2019-02-28
1.0,5,6,10,6,-3,3,6,11,17,13,-3,6,4,6,9,0,2,4,-8,2,15,5,0,0,0,-2,-2,PHI,ATL,2018-10-29
0.0,-18,-10,-19,-13,21,18,-1,10,9,-13,-4,-4,-10,6,-8,5,-5,8,2,4,-29,3,-1,2,2,-1,-13,ATL,DET,2018-11-10
1.0,2,9,10,6,-7,-2,-4,6,2,4,4,5,7,-7,11,0,2,10,-7,5,27,-35,0,-4,-8,0,11,MIN,LAL,2019-01-06
1.0,-1,0,5,0,16,19,1,3,4,-7,4,1,-6,-4,5,7,2,14,5,7,8,16,0,6,0,-1,10,CHA,SAC,2019-01-18
0.0,-6,-2,-4,1,5,0,0,5,5,9,-5,5,4,4,3,2,1,-4,-4,-2,22,-16,0,-7,-2,1,-18,MEM,DEN,2019-01-29
0.0,8,6,-10,-4,-10,-13,5,5,10,-5,1,-1,11,2,9,7,4,24,17,12,-1,13,1,14,9,1,-1,NYK,TOR,2019-02-10
1.0,8,13,6,11,-14,-14,-2,0,-2,9,1,1,4,-6,20,7,7,6,10,3,27,-2,-1,-2,1,1,12,TOR,BOS,2019-02-27
0.0,7,-11,6,-2,-11,-11,0,-10,-10,-7,-1,-4,5,3,-16,-5,-5,-8,4,-4,-35,0,0,-3,4,2,-8,CLE,NOP,2019-01-06
1.0,-1,1,14,5,-4,-3,-1,3,2,-5,-3,-7,3,4,-6,-2,-4,-10,-9,-5,-2,-1,-1,14,3,1,-2,HOU,OKC,2018-12-25
0.0,7,-11,6,2,-8,-10,1,-13,-12,-3,3,-3,11,1,18,8,8,-14,3,-7,-28,-18,0,-2,2,0,3,PHX,SAS,2018-11-01
1.0,6,6,28,11,-6,-6,2,7,9,13,2,5,1,0,10,4,5,12,3,6,20,-11,0,9,-1,0,6,MIL,IND,2018-10-20
1.0,8,4,4,1,-9,-8,4,-4,0,10,-3,-3,3,0,-6,-8,-2,24,17,12,5,4,0,-3,-3,-1,0,BKN,DET,2018-10-31
0.0,6,-3,8,1,-7,-4,1,-7,-6,2,-2,0,0,2,3,1,0,-4,0,-2,-3,-7,1,9,4,1,0,WAS,CHI,2018-12-29
0.0,-4,-3,4,-1,8,3,-6,-6,-12,-8,7,6,-2,-10,1,-2,1,4,3,2,-3,31,0,-12,-4,0,5,MIA,DEN,2019-01-09
0.0,2,-7,-7,-11,-6,-7,0,-11,-11,-14,2,3,-1,0,-4,-2,-2,2,1,1,-33,0,0,-8,-3,2,-9,ORL,CHA,2018-10-19
1.0,13,0,4,0,-2,1,7,-5,2,0,3,0,1,-3,2,3,1,-2,2,-1,-3,16,0,10,-2,0,1,SAC,LAL,2018-12-28
0.0,-13,-5,-8,1,5,4,-1,2,1,2,-9,-3,-2,8,-2,-2,-2,-10,-7,-5,16,8,0,4,-4,-2,-2,SAS,CHI,2018-12-16
1.0,-10,-3,3,-2,22,16,-1,8,7,-4,3,1,-11,-2,10,4,2,8,1,4,0,1,0,-5,6,1,4,WAS,ORL,2018-11-13
1.0,-7,6,-7,8,0,-2,-1,7,6,4,-3,-1,7,3,9,2,0,-6,1,-3,21,20,1,4,-1,-1,-3,TOR,WAS,2018-11-24
1.0,4,0,6,4,12,5,4,-2,2,5,4,-2,-10,-5,-1,0,0,-4,-3,-2,16,13,-1,4,5,-1,5,DAL,POR,2018-12-05
1.0,-4,3,-5,-4,-2,0,-7,-3,-10,5,0,2,-8,-2,4,-2,1,4,-4,2,12,-11,0,-8,-5,-2,-1,TOR,POR,2019-03-02
1.0,-21,3,-7,-4,9,6,-16,-3,-19,3,-2,8,-5,-4,-11,-8,-5,-2,-14,-1,17,-19,0,-14,-8,0,12,MEM,CLE,2018-12-27
1.0,16,5,-4,-5,0,1,6,-5,1,9,6,0,-6,-8,-16,-6,-5,18,21,9,12,32,-1,0,3,-1,22,POR,TOR,2018-12-15
0.0,19,-5,16,1,1,-1,16,-11,5,-3,-1,-4,-8,-2,-2,4,-1,2,7,1,-17,-27,0,16,1,0,5,DET,CHA,2018-11-11
0.0,-13,-11,20,5,9,7,0,8,8,1,-13,0,2,11,-11,-8,-5,-16,-12,-8,-12,8,0,-11,4,1,-24,BKN,MIN,2018-11-23
0.0,-2,-7,2,-1,16,12,11,6,17,-10,-3,-3,-10,6,-12,-1,-5,-10,4,-5,-5,-1,-1,10,2,0,-5,NYK,WAS,2018-12-04
1.0,-3,5,-13,-1,4,3,-3,4,1,2,1,0,4,-2,7,5,3,4,-1,2,12,18,-1,5,-2,0,5,IND,DAL,2019-01-20
1.0,13,16,-11,-5,-4,-5,6,11,17,12,0,-1,5,-6,18,9,7,36,18,18,19,31,0,11,-3,-1,6,SAC,ATL,2019-01-31
0.0,16,-1,-10,-3,-11,-8,4,-8,-4,0,2,-5,4,-4,-7,1,-1,0,24,0,-10,-9,0,4,4,1,4,CHI,MIL,2019-02-12
0.0,15,5,-2,-3,-13,-14,6,-6,0,2,-1,0,8,-3,-2,-1,-1,-2,-1,-1,7,20,0,8,-1,0,1,NYK,CLE,2019-03-01
1.0,8,1,-10,-2,26,22,7,2,9,-2,7,-7,-9,-9,-4,-1,-1,-8,5,-4,23,8,0,13,6,-1,13,CLE,ATL,2018-10-30
1.0,-9,0,-3,-1,3,2,-10,-5,-15,5,2,-1,2,-1,1,6,2,6,2,3,10,-7,-1,-9,1,0,6,CHI,CLE,2018-11-11
1.0,15,23,4,6,-11,-9,3,16,19,21,0,-4,3,-3,14,7,6,34,13,17,46,20,0,18,3,0,9,MIL,POR,2018-11-22
1.0,12,10,-12,-5,-7,-3,-1,1,0,7,4,0,-2,-5,17,6,7,32,23,16,2,-11,0,8,0,1,15,MIL,UTA,2019-01-08
1.0,-2,8,13,6,-11,-6,2,9,11,17,-3,2,3,5,3,0,2,16,-2,8,37,-17,1,7,-8,-1,-6,UTA,CLE,2019-01-19
1.0,1,11,-11,-1,9,11,5,17,22,14,3,2,-3,-2,15,5,7,22,7,11,33,15,0,14,-2,2,3,BOS,CHA,2019-01-31
0.0,-11,-6,-5,0,-3,-4,-6,-10,-16,-2,1,-3,0,3,2,-5,-1,-4,3,-2,-21,7,0,-6,-2,0,-11,ATL,ORL,2019-02-11
1.0,4,3,9,6,2,-3,4,0,4,8,1,-2,-1,1,6,3,3,-2,5,-1,2,-11,-1,8,0,1,4,DAL,IND,2019-02-28
0.0,-13,-6,-12,0,-3,-6,-9,-5,-14,-3,0,-5,1,5,4,1,1,-6,1,-3,-12,-20,0,-9,0,1,2,OKC,WAS,2019-01-07
1.0,3,6,12,10,9,8,-3,3,0,7,3,-1,-5,-5,7,2,2,0,0,0,37,10,0,0,4,0,4,DEN,CHI,2019-01-18
0.0,5,-1,-12,-2,-10,-6,1,-2,-1,4,4,-4,0,2,-3,-3,-2,-8,10,-4,-8,22,-1,-6,-1,-1,6,DEN,HOU,2018-11-14
1.0,14,5,23,3,-6,-9,9,0,9,6,-2,5,-2,-1,-7,0,-1,12,-1,6,-8,-3,0,12,-1,0,16,DAL,MIN,2018-10-21
1.0,7,6,4,4,-5,-7,2,-1,1,10,1,0,2,-4,12,6,6,-6,-2,-3,18,-18,0,-10,-6,2,11,PHI,LAC,2018-11-01
0.0,-6,-12,21,10,8,7,4,-7,-3,-7,-7,2,-7,5,-17,-7,-5,-46,-24,-23,-5,-8,0,2,-2,1,-10,HOU,MIL,2019-01-10
1.0,7,11,14,7,-19,-17,-6,0,-6,4,2,7,4,-7,4,4,1,16,1,8,16,-1,-1,-9,-8,1,10,TOR,CLE,2018-10-17
1.0,6,10,-13,0,0,0,1,-1,0,-4,6,-1,0,-10,5,0,3,18,13,9,25,4,0,-3,-2,1,18,IND,BKN,2018-10-20
1.0,-11,3,-5,-1,-6,-2,-13,6,-7,-6,1,3,6,1,7,-1,2,-10,-16,-5,7,-34,-1,-11,-1,1,-8,MIN,UTA,2018-11-01
1.0,0,8,-2,-1,2,-5,-2,4,2,7,2,6,-5,-2,-3,-1,-1,26,5,13,5,16,0,4,5,1,-8,WAS,NOP,2018-11-25
1.0,-13,3,3,5,11,12,-8,3,-5,6,7,3,-5,-5,20,4,6,0,-13,0,26,13,0,-7,-4,1,15,MIL,DET,2018-12-06
1.0,-3,1,-5,3,2,4,-3,-4,-7,8,2,0,-2,-3,-1,-2,-2,-2,-1,-1,-4,10,-2,-9,-7,0,10,DEN,TOR,2018-12-17
1.0,8,7,-4,-5,-10,-5,-3,-3,-6,5,7,2,6,-6,-7,-1,0,14,6,7,-13,7,2,0,-4,-1,8,PHX,SAC,2019-01-09
1.0,18,7,-9,-11,-6,-1,9,1,10,3,0,-2,6,-5,3,0,0,38,29,19,-12,-8,0,16,0,0,13,NOP,DAL,2018-12-29
0.0,4,-6,-2,-7,-1,-5,3,-8,-5,-12,1,-3,2,2,-6,0,-1,6,8,3,-14,5,-2,12,1,-1,1,CLE,GSW,2018-12-06
1.0,-1,-2,2,5,10,4,0,0,0,0,-2,-3,-3,1,7,-2,2,-12,-7,-6,4,-19,0,1,1,-1,-1,OKC,CHA,2018-11-24
0.0,10,-2,0,-2,-7,1,1,-5,-4,-2,0,-4,4,-2,0,8,0,6,5,3,-7,-18,0,8,0,-1,-2,CHI,DAL,2018-11-13
1.0,3,2,11,2,8,11,2,4,6,-4,3,-2,-1,-1,-7,-1,-3,-4,-5,-2,26,19,-1,0,0,0,6,BKN,ATL,2018-12-16
1.0,17,8,6,7,-10,-10,3,-2,1,4,0,-2,2,-6,-8,-6,-3,6,11,3,20,-8,2,0,6,1,9,CHA,BKN,2018-12-29
0.0,1,1,-10,-6,-8,-3,-8,-4,-12,8,2,2,2,-3,-2,4,0,18,12,9,-8,-6,0,-6,-1,-1,-3,SAC,LAC,2019-03-02
1.0,2,3,15,3,0,-2,-2,-7,-9,6,9,3,-1,-10,13,4,5,-10,-18,-5,4,-13,-1,-2,-2,1,19,GSW,UTA,2019-02-13
0.0,-14,-7,-6,-4,2,4,-3,8,5,-4,-9,-5,-3,10,-2,-10,-1,-4,-9,-2,-12,-11,0,-7,-2,1,-23,NYK,BOS,2019-02-02
0.0,-1,0,-2,-3,-7,-5,6,4,10,-2,-5,6,7,7,-13,-8,-5,-6,-8,-3,-18,8,0,1,-5,-1,-5,SAS,LAC,2019-01-21
0.0,9,0,14,5,-8,-8,3,-7,-4,3,6,4,3,-5,14,13,7,2,0,1,-13,-31,0,9,-3,0,1,NOP,LAC,2018-12-04
0.0,-10,-7,-5,-7,8,3,-2,-1,-3,-9,-2,0,-3,4,6,-1,2,12,4,6,-29,13,0,-12,-1,1,-9,ATL,BOS,2018-11-24
0.0,5,-7,4,1,7,6,5,-7,-2,0,-2,-2,-1,-2,0,1,1,-12,-1,-6,-6,14,0,3,5,-1,1,DEN,MIL,2018-11-12
0.0,-4,-4,-3,-4,9,8,0,0,0,-5,-4,-2,-6,-1,11,6,5,0,6,0,-14,4,0,6,-5,-1,3,OKC,PHI,2019-03-01
1.0,-1,5,6,5,-9,-6,-3,2,-1,5,1,0,4,-1,13,10,5,-8,-6,-4,19,-7,0,-2,-2,0,7,OKC,POR,2019-02-12
1.0,-9,-3,6,7,6,6,3,3,6,-1,-4,3,1,6,4,-2,1,-18,-13,-9,5,24,0,4,2,-1,1,ORL,IND,2019-02-01
1.0,10,10,7,7,1,2,-2,-3,-5,10,12,5,4,-14,24,11,10,14,9,7,37,-2,0,3,-4,0,29,TOR,MEM,2019-01-20
1.0,-6,8,-3,3,3,-1,-2,4,2,0,2,1,3,-1,0,0,0,-4,-6,-2,20,13,0,-6,2,-1,11,WAS,IND,2019-01-31
0.0,-12,-3,1,-1,13,5,1,1,2,8,-4,1,-4,7,-7,-3,-3,-8,-8,-4,-13,-8,-2,1,5,2,-20,PHI,OKC,2019-01-19
1.0,-4,4,8,4,2,-2,-2,5,3,7,-2,3,2,3,-20,-9,-8,0,-5,0,12,0,0,8,3,1,-3,POR,NYK,2019-01-08
1.0,15,9,19,9,-5,-3,3,-1,2,8,5,-3,1,-5,-1,3,0,18,10,9,27,19,1,16,-2,-1,9,WAS,CLE,2018-11-15
0.0,2,-2,10,1,-9,-7,1,-1,0,-2,-6,2,-4,3,11,4,4,-8,-8,-4,-1,-9,0,10,6,0,-7,UTA,MEM,2018-11-03
1.0,-10,9,11,6,-4,-3,-9,14,5,15,5,3,7,1,26,10,10,12,-6,6,25,9,0,-8,3,2,6,TOR,CHA,2018-10-22
