win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
0.0,1,-9,15,-1,16,14,6,-2,4,-9,-1,-1,-3,7,5,6,2,-10,-3,-5,-1,-5,0,13,6,-3,-15,UTA,POR,2019-01-22
0.0,4,4,-10,-8,-12,-9,-4,-6,-10,6,1,6,0,-6,5,8,2,16,-2,8,-5,16,1,2,-7,-1,4,LAL,HOU,2018-10-21
1.0,9,4,-3,2,13,9,3,-2,1,2,5,3,-7,-9,0,0,0,-10,-6,-5,20,17,0,8,6,1,15,NYK,ATL,2018-10-17
1.0,-7,4,6,10,-6,-5,-6,8,2,3,-3,1,6,2,10,2,4,-24,-25,-12,16,-1,0,-9,2,-1,6,POR,NOP,2018-11-02
0.0,-4,-8,7,-1,-5,-5,-2,-4,-6,-6,-5,-1,1,5,-3,-5,0,-14,-6,-7,-24,-17,0,0,0,1,-15,ORL,IND,2018-12-08
0.0,2,-1,-9,-2,8,3,2,-1,1,2,0,4,-4,0,9,4,1,-2,9,-1,3,0,0,3,5,-3,0,IND,CLE,2018-12-19
1.0,-14,-6,9,5,24,17,1,4,5,-1,-3,-3,-17,4,-4,-5,-4,-16,-9,-8,5,-22,1,5,2,1,1,DAL,PHX,2019-01-10
1.0,7,19,4,1,-8,-7,7,18,25,13,-2,5,8,2,-7,-2,-2,44,16,22,46,31,1,13,0,0,-7,UTA,NYK,2018-12-30
1.0,4,4,4,1,-12,-8,-1,-2,-3,2,1,-4,6,-4,10,5,5,-2,-1,-1,-3,27,-1,-8,-9,-2,7,PHI,ORL,2018-10-20
1.0,1,1,13,6,8,1,4,-3,1,8,4,0,-5,-1,-6,-3,-3,0,-4,0,15,13,0,6,2,-1,1,DAL,BOS,2018-11-25
1.0,-8,-1,12,7,13,3,-5,-2,-7,3,-2,1,-6,2,10,1,3,-12,-8,-6,0,5,-1,1,6,-1,-1,LAL,SAS,2018-12-06
1.0,4,0,2,2,0,3,-2,-11,-13,-7,4,3,-1,-6,9,3,1,-4,2,-2,17,-14,0,-8,-2,-1,8,HOU,UTA,2018-12-18
1.0,-3,11,4,5,-9,0,-3,12,9,6,1,7,7,2,23,9,9,16,-10,8,31,26,-1,-3,-10,1,4,BOS,IND,2019-01-10
0.0,-4,-4,11,5,1,-8,1,-4,-3,2,-5,-2,-7,5,8,6,4,-4,-7,-2,-6,-43,2,4,4,-2,-14,LAL,LAC,2018-12-29
1.0,-13,-4,1,-2,17,19,-1,2,1,-6,4,5,-2,-1,1,-2,0,-12,-11,-6,16,7,0,-4,-2,2,0,PHX,LAL,2019-03-03
1.0,-8,9,-33,-9,4,1,0,10,10,8,-1,3,-5,1,0,3,1,34,21,17,1,5,-1,4,-4,-2,6,MIN,HOU,2019-02-14
0.0,1,-6,-16,-12,14,11,2,-8,-6,0,5,-2,-4,-7,4,0,0,6,15,3,-11,23,0,2,-4,0,10,CLE,DAL,2019-02-03
1.0,11,4,1,6,1,3,2,3,5,-2,7,1,-6,-5,3,0,1,-8,8,-4,25,-5,1,6,2,1,0,OKC,PHX,2018-11-13
1.0,-8,10,8,8,-6,0,-6,10,4,7,2,8,6,2,5,10,3,-18,-30,-9,23,18,0,-1,-2,0,10,GSW,POR,2018-11-24
0.0,-13,-6,-2,2,4,8,-7,-8,-15,-7,-1,-2,1,1,-5,-2,-2,-12,-2,-6,19,19,-1,-5,-4,1,-1,BKN,OKC,2018-12-06
1.0,15,10,-5,2,-8,-4,7,1,8,6,4,-1,0,-5,-13,-3,-4,10,9,5,25,-37,-1,8,-3,0,-2,WAS,LAL,2018-12-16
0.0,-14,-4,-1,-3,5,6,-8,3,-5,3,-2,1,-3,2,-6,-2,-2,-6,-10,-3,-1,-16,0,-15,2,0,0,IND,ORL,2019-03-03
1.0,4,9,-1,3,-19,-13,0,6,6,13,1,1,4,5,4,4,3,14,6,7,17,12,1,-1,-1,0,-4,BOS,DET,2019-02-14
1.0,-3,6,-13,-2,2,4,-1,7,6,14,1,1,-10,-2,16,6,6,8,4,4,10,8,0,-9,1,0,13,DEN,HOU,2019-02-02
1.0,2,5,-11,-3,9,7,3,2,5,2,2,3,-3,-4,15,-1,2,14,7,7,23,2,0,4,2,2,8,WAS,DET,2019-01-21
0.0,-8,-2,-2,-4,10,5,2,4,6,-3,-5,0,-3,9,-1,1,-2,12,5,6,-2,-17,0,4,1,0,-6,PHI,BOS,2019-02-13
0.0,0,0,1,-1,-8,-8,-7,-5,-12,0,2,2,0,-4,-1,2,0,2,3,1,0,-15,1,-3,-2,0,0,GSW,PHI,2019-02-01
1.0,17,15,8,5,-15,-13,7,8,15,13,2,1,10,-1,-2,1,-1,10,-1,5,26,13,0,11,-1,-1,13,DEN,CLE,2019-01-20
1.0,6,-1,4,1,13,8,3,-2,1,4,7,4,-2,-8,0,6,0,4,4,2,8,-23,0,7,3,-1,7,NOP,LAC,2018-10-24
1.0,2,8,-3,3,-5,-4,-2,10,8,10,-4,-7,5,5,-4,-1,-2,8,4,4,10,7,-2,-4,5,-1,-4,DEN,UTA,2018-11-04
1.0,0,3,-1,1,3,2,0,1,1,1,3,-4,-3,-1,9,9,1,6,5,3,3,9,0,-1,1,-1,-1,LAL,POR,2018-11-15
1.0,13,-1,24,2,0,6,6,1,7,7,2,-2,-13,-4,1,-4,-1,8,6,4,9,5,-2,5,1,1,11,DAL,CHI,2018-10-23
1.0,-14,-5,-1,4,10,16,-4,5,1,5,3,0,-1,0,2,2,1,-20,-12,-10,24,5,0,-5,-8,1,8,PHI,DET,2018-11-03
0.0,1,1,-13,-6,4,2,5,5,10,-1,1,-2,-5,3,5,3,3,10,7,5,15,-12,-1,0,2,-1,-2,TOR,DET,2018-11-15
1.0,-10,0,-13,1,11,8,-11,-4,-15,5,9,1,0,-9,22,17,11,-8,-2,-4,10,-4,0,-7,0,0,6,OKC,POR,2019-01-23
0.0,17,6,-6,-2,-15,-13,2,-8,-6,-2,4,3,8,-5,4,1,2,20,14,10,4,-2,-1,4,3,0,8,CHI,BKN,2018-12-20
1.0,-7,0,-7,5,3,2,-4,4,0,2,2,-3,0,1,-1,1,-2,-14,-10,-7,13,-11,0,-6,0,1,-9,WAS,MIL,2019-01-12
1.0,3,1,10,2,8,3,3,2,5,6,-1,0,-6,1,-15,0,-6,-6,0,-3,-2,-4,0,11,10,-1,3,LAL,SAC,2018-12-31
0.0,0,-5,-2,-6,-8,-7,-1,-7,-8,-7,-7,-1,1,5,-2,-2,-1,6,5,3,-23,-16,0,2,4,1,-13,WAS,OKC,2018-11-03
1.0,7,-1,3,-1,18,5,7,0,7,-1,7,-2,-7,-10,6,3,2,4,8,2,1,15,-1,-1,8,1,7,DEN,GSW,2018-10-22
1.0,-12,0,-3,2,-1,0,-9,-3,-12,0,3,0,4,-2,-3,-2,-1,-10,-11,-5,1,8,0,-4,-3,1,5,CHI,OKC,2018-12-08
0.0,-7,-9,-7,-1,-2,-2,-6,-7,-13,-10,-1,2,-1,-1,1,1,0,-14,-2,-7,-21,-5,1,-8,-3,-1,0,SAC,UTA,2018-11-26
1.0,4,10,-8,-3,-12,-9,6,8,14,7,-1,2,11,7,3,3,2,20,10,10,3,12,0,1,-1,1,-9,DEN,DAL,2018-12-19
1.0,-4,7,-21,-6,4,5,2,12,14,7,-3,4,-3,5,0,-1,1,28,17,14,18,3,0,1,-2,-1,3,LAL,DET,2019-01-10
0.0,-5,-8,-3,3,7,2,-1,-8,-9,-5,-1,-2,0,2,-10,-3,-5,-6,13,-3,-22,30,-2,-3,5,0,-19,LAC,SAS,2018-12-30
1.0,14,-2,8,2,14,6,13,-4,9,-3,1,-4,-6,-6,13,6,4,0,9,0,-9,13,1,3,3,-2,-3,OKC,MEM,2019-03-04
1.0,-14,-2,-1,0,8,5,-3,8,5,2,-6,-5,-4,8,7,-2,2,2,-4,1,-2,2,0,1,4,1,-12,MIL,BOS,2019-02-22
1.0,1,11,-4,0,10,5,-2,6,4,13,11,-1,-2,-11,12,1,5,28,8,14,32,17,1,1,7,0,23,UTA,HOU,2018-12-07
0.0,-14,-5,-5,-1,17,7,-4,1,-3,-9,1,5,-5,5,12,6,4,-4,-5,-2,-4,-21,0,-3,6,-1,-3,LAL,ORL,2018-11-25
1.0,-11,9,-14,-2,10,11,-8,12,4,-1,2,4,-1,-4,1,2,1,8,1,4,20,21,0,-10,-3,0,6,SAS,PHI,2018-12-18
1.0,13,3,14,5,-4,-8,7,2,9,0,-2,2,2,1,-1,1,-1,4,8,2,2,21,0,9,7,0,1,ATL,CLE,2018-12-30
0.0,-3,-1,-23,-13,0,4,-2,4,2,1,-1,-4,0,1,-5,1,-1,12,11,6,-26,22,1,7,-2,0,-11,BOS,HOU,2019-03-03
1.0,-2,15,8,13,-8,-5,-5,10,5,14,0,2,-4,-1,2,0,-1,0,-8,0,40,26,0,-2,-7,0,4,ORL,CHA,2019-02-15
0.0,0,0,1,-2,2,1,-7,0,-7,-2,3,-3,-1,-2,-4,-6,-2,-6,-8,-3,3,3,-1,-6,8,2,8,MIN,DEN,2019-02-03
1.0,-10,12,-17,5,-7,-5,2,21,23,1,-7,-1,9,10,-1,1,1,10,4,5,22,18,-1,1,-3,1,-18,CLE,CHA,2018-11-14
0.0,7,-13,6,-7,9,3,9,-16,-7,-13,5,-1,-7,-5,5,2,1,-6,1,-3,-34,-28,0,-1,-1,0,7,DAL,MEM,2019-03-03
1.0,-9,2,-11,-3,12,11,3,11,14,-5,-7,-2,0,6,6,2,4,16,11,8,11,-42,0,6,2,-1,-6,CHI,MEM,2019-02-14
1.0,3,8,-11,0,-4,-3,-1,0,-1,2,5,6,6,-4,-1,-4,0,16,-1,8,8,-21,0,2,-9,-1,13,ORL,BKN,2019-02-03
1.0,-3,6,10,3,13,14,2,17,19,-1,1,0,-5,2,2,-4,0,16,3,8,22,-15,0,10,3,1,10,BKN,SAC,2019-01-21
0.0,7,2,7,1,-2,-7,1,-4,-3,0,7,-4,1,-4,-3,-5,-1,4,5,2,-12,1,0,2,5,0,-4,MIA,ATL,2018-11-28
1.0,4,9,-1,4,-9,-6,-2,-3,-5,12,5,3,2,-6,3,0,1,10,1,5,24,-4,0,-4,-5,0,12,MIN,POR,2018-11-17
0.0,7,-1,4,-1,-3,-2,12,-2,10,3,-2,-5,4,2,-5,-3,-3,-4,4,-2,-3,-19,1,13,-3,0,-7,DET,MIA,2018-11-06
1.0,10,-1,-3,1,0,4,9,-2,7,-7,-4,0,-3,-3,4,-1,1,-10,4,-5,1,-7,0,12,-4,1,12,DET,BKN,2018-10-17
1.0,-17,-1,-6,-1,10,8,-6,11,5,4,-5,-3,1,7,-5,-7,-3,-6,2,-3,11,9,0,-4,-3,0,-15,LAC,SAS,2018-11-16
1.0,40,19,8,5,-23,-18,6,-14,-8,11,5,2,7,-18,8,2,3,30,32,15,22,17,0,2,0,-1,30,BKN,PHI,2018-11-04
0.0,2,-4,-16,-11,1,3,8,1,9,-5,-3,1,3,1,8,3,4,-12,-2,-6,-20,9,0,1,-3,0,5,CLE,BKN,2018-10-24
0.0,-11,-10,-14,-7,6,7,-9,-5,-14,-11,-4,4,1,-2,11,6,5,-6,-3,-3,-24,-21,1,-13,-2,0,10,CHI,ATL,2019-01-24
1.0,-1,1,2,6,-3,-4,0,0,0,7,-2,-2,2,4,4,3,3,-4,-4,-2,1,4,0,-5,1,-3,9,MIA,MEM,2019-01-12
1.0,-13,12,-6,-2,5,1,-9,9,0,5,0,4,-7,-1,14,4,5,32,0,16,26,-1,2,-10,-1,0,2,MIL,DET,2019-01-02
1.0,7,12,7,9,-11,-8,4,7,11,14,3,-1,4,-2,3,4,2,12,5,6,27,-9,0,7,-1,0,21,OKC,NYK,2018-11-15
1.0,3,5,-8,-3,-3,-2,-5,1,-4,6,5,1,1,-1,-1,0,0,2,5,1,14,11,1,-10,3,1,-10,ATL,MIA,2018-11-03
1.0,2,6,3,5,8,3,-5,0,-5,11,4,3,3,-7,28,17,11,2,-1,1,27,-1,0,-2,2,0,14,GSW,PHX,2018-10-23
1.0,0,2,-13,-3,2,3,2,1,3,-1,4,2,1,-3,5,-1,2,10,9,5,14,14,-1,-8,-4,1,8,IND,TOR,2019-01-24
0.0,-5,-4,4,-3,5,3,-3,-2,-5,-5,3,-3,-7,0,-3,-1,-1,-12,-17,-6,-15,4,0,-4,-8,-3,15,NYK,BKN,2018-12-09
0.0,9,-1,-15,-11,1,7,3,2,5,-4,5,2,2,-6,3,6,3,12,10,6,2,11,0,6,-5,0,11,MIN,DET,2018-12-20
1.0,0,6,19,11,6,5,2,4,6,4,-4,5,-6,2,-3,-9,-3,-16,-19,-8,39,-16,0,-8,-1,0,3,HOU,CLE,2019-01-12
1.0,-12,-7,16,12,15,14,1,6,7,-5,-6,0,-6,3,-14,-7,-4,-24,-21,-12,19,-15,0,8,5,1,-9,HOU,MEM,2019-01-01
1.0,-4,0,-4,-2,9,10,0,6,6,7,6,2,-3,-1,-1,1,1,4,3,2,10,6,0,-1,-3,0,6,PHI,ORL,2019-03-06
0.0,-7,-6,-3,-1,-2,-4,-2,4,2,-5,-3,-1,5,8,-9,-2,-4,-16,-6,-8,-19,-13,0,-5,5,1,-13,PHX,MIA,2018-12-08
0.0,0,-4,5,2,-5,-1,1,0,1,6,-4,-5,0,8,-6,0,-2,-14,-7,-7,-8,2,2,3,-3,0,-7,CLE,MIN,2018-11-27
1.0,2,10,-1,5,-6,-3,5,11,16,9,4,2,3,1,5,1,1,8,3,4,23,25,1,5,-7,1,-2,PHI,NYK,2018-12-20
1.0,-15,-2,-16,1,5,10,-9,3,-6,5,0,5,1,4,-5,-3,-2,-12,-17,-6,8,17,-1,-11,-2,0,-1,SAS,OKC,2019-01-11
1.0,12,1,13,2,2,2,10,-2,8,1,-2,6,-1,-5,11,7,5,-4,0,-2,1,3,0,14,1,-1,14,TOR,CHI,2018-12-30
1.0,-10,0,-15,-9,15,10,-2,2,0,0,3,4,-4,-3,4,-1,2,2,-8,1,21,3,1,-2,1,-1,6,SAS,DEN,2019-03-05
1.0,-1,4,-6,3,4,2,0,10,10,2,1,0,0,0,3,8,2,12,10,6,4,17,0,13,3,1,1,CHA,WAS,2019-02-23
0.0,1,-10,3,-5,3,6,1,-4,-3,-6,-4,2,1,4,-16,-6,-5,-6,-6,-3,-20,9,0,11,3,-2,-1,BKN,MIL,2019-02-05
0.0,-3,6,-4,-2,-13,-12,-3,4,1,-9,-7,-2,3,7,3,2,1,2,4,1,18,25,0,-14,-1,0,-3,BKN,PHI,2018-11-25
1.0,-5,-3,17,8,12,12,1,2,3,-3,2,-2,-2,0,-1,1,0,-8,-7,-4,5,34,-1,-1,3,2,-6,CLE,ORL,2019-03-03
1.0,1,7,4,3,-5,-4,-1,14,13,8,-1,-2,5,-2,5,1,1,14,4,7,10,29,0,1,6,3,2,CLE,PHX,2019-02-22
0.0,-1,-9,2,-4,-1,-5,6,-3,3,2,-7,1,-8,6,19,7,7,-8,-3,-4,-23,-11,0,-2,5,3,-11,UTA,HOU,2019-02-03
1.0,2,12,-19,-3,7,7,4,13,17,7,0,8,-3,1,4,0,1,18,13,9,29,2,-1,7,3,0,-2,PHI,HOU,2019-01-22
1.0,12,16,14,10,2,-3,1,1,2,10,11,-2,1,-10,7,3,2,14,9,7,46,7,0,7,5,0,15,MIN,SAS,2018-11-29
0.0,-3,-18,-8,-6,8,3,-1,-19,-20,-10,-1,-7,-5,-1,-14,-10,-5,-20,-3,-10,-38,-10,0,-9,4,0,-17,CHI,TOR,2018-11-18
0.0,2,3,4,-1,-11,-10,-5,-5,-10,-5,0,0,4,-4,-2,2,-2,12,6,6,-8,-13,-1,-1,-2,1,5,PHX,IND,2018-11-28
0.0,-7,-8,5,2,10,6,6,3,9,2,0,4,-3,3,-4,1,-3,-8,3,-4,7,-19,0,-1,0,0,-7,BKN,LAC,2018-11-17
0.0,11,-2,-4,-1,-1,4,10,4,14,5,-2,-3,5,-2,7,1,3,-8,14,-4,-5,31,0,2,-6,1,1,NYK,CHI,2018-11-06
1.0,-1,11,-9,3,-3,-3,3,11,14,15,-1,4,-2,3,18,14,7,10,4,5,26,-22,0,9,2,3,1,GSW,WAS,2018-10-25
1.0,2,4,-7,2,3,0,0,9,9,-2,-3,-2,-4,-1,2,5,1,20,18,10,2,-6,0,2,8,0,-3,OKC,ORL,2019-02-06
1.0,-3,-3,2,1,21,15,12,15,27,2,-7,-9,-10,11,2,4,1,-2,5,-1,6,22,1,18,5,1,-20,BKN,NYK,2019-01-26
0.0,4,-10,8,1,-3,0,10,5,15,-9,-10,1,5,10,-23,-9,-8,-10,6,-5,-18,-3,-2,9,-2,0,-20,ATL,MIL,2019-01-13
1.0,-8,0,-6,0,6,2,1,8,9,-2,-1,0,4,8,12,5,5,10,3,5,3,5,-2,0,1,-2,-5,CHI,CHA,2018-10-25
0.0,-3,-8,3,0,7,9,-1,1,0,-4,-4,1,-1,3,-17,-4,-5,-26,-10,-13,-23,8,0,3,-1,-1,-11,SAS,ORL,2018-11-05
1.0,-7,0,1,7,-5,-1,0,2,2,10,-3,1,2,4,0,-2,1,-14,-6,-7,11,10,1,-6,-11,1,-3,PHI,UTA,2018-11-17
1.0,0,-4,19,11,7,3,0,-10,-10,8,0,-2,-5,-1,0,0,0,-22,-12,-11,14,-13,0,4,4,-2,4,UTA,DEN,2019-01-24
1.0,-12,4,-10,0,-2,0,1,15,16,7,-6,4,3,11,-7,-7,-5,0,-7,0,21,-23,-1,-6,0,1,-6,IND,WAS,2018-12-11
0.0,-7,-2,-2,-2,0,-1,-11,-8,-19,-9,4,2,4,-4,-1,-2,0,-12,-16,-6,8,-20,-2,-8,-3,1,-14,NYK,ATL,2018-12-22
1.0,-3,-1,-8,1,9,11,-6,1,-5,6,5,-2,-2,-7,20,6,8,0,9,0,5,-5,0,0,1,0,11,OKC,SAS,2019-01-13
0.0,4,0,-1,-7,1,1,-5,-9,-14,-7,5,-7,1,-7,-6,-3,-3,12,9,6,-24,15,0,-4,-2,-1,6,LAC,PHI,2019-01-02
0.0,-2,-6,6,1,1,-1,5,-6,-1,0,-2,0,-1,7,3,-1,1,10,8,5,-10,-13,-1,-12,-3,0,-6,MIA,LAC,2019-01-24
1.0,-8,-1,17,3,8,7,4,9,13,-2,-2,2,-3,7,12,6,4,12,-13,6,4,-2,0,3,-1,1,-20,POR,MIN,2018-12-09
0.0,-9,-12,2,0,6,5,-8,-15,-23,1,-1,-1,-6,-4,3,1,0,-20,-11,-10,-17,1,-2,-10,-1,-1,4,SAC,OKC,2018-12-20
1.0,3,16,10,2,-7,-3,-3,7,4,8,7,14,10,-4,16,9,6,12,-10,6,35,5,0,-2,-3,-1,5,POR,CHA,2019-01-12
1.0,29,15,-14,-8,1,-2,6,-9,-3,1,6,0,1,-16,14,12,8,28,20,14,22,-6,0,18,2,-3,31,OKC,DAL,2019-01-01
1.0,-5,5,-24,-7,4,8,-5,12,7,8,2,-6,-2,-3,-2,-2,0,16,23,8,15,11,-1,-15,1,1,11,MIN,OKC,2019-03-06
0.0,-12,-7,1,4,-1,-5,-12,-8,-20,-1,-3,-1,0,0,0,2,1,-10,-5,-5,-16,-6,0,-7,1,0,-4,PHI,POR,2019-02-23
1.0,2,2,-2,-1,7,7,3,6,9,2,-2,0,-4,2,-4,-3,0,10,5,5,3,8,0,-5,1,1,-9,IND,SAC,2018-12-09
0.0,-20,-14,-7,-7,19,18,-5,3,-2,-6,-6,1,-5,9,-5,4,-2,-8,-1,-4,-18,-1,-1,-1,3,-2,-16,NOP,BOS,2018-11-27
1.0,-2,0,0,-1,5,8,-4,-1,-5,11,3,-2,-1,-4,-3,3,-1,-2,1,-1,10,-23,0,-7,0,0,1,SAC,NYK,2019-03-05
1.0,5,-3,-7,2,10,7,5,-6,-1,-3,1,-3,-2,-5,4,5,4,6,25,3,1,-34,0,1,2,0,4,TOR,SAS,2019-02-23
1.0,-8,8,0,4,2,-5,-7,9,2,8,-1,2,-2,0,18,8,8,2,0,1,13,28,0,-12,5,-1,-5,SAC,SAS,2019-02-05
1.0,5,5,21,7,2,1,9,11,20,6,3,-2,4,1,6,4,3,-8,-21,-4,20,14,0,5,1,2,2,TOR,LAC,2019-02-03
1.0,10,8,11,6,-9,-4,6,2,8,3,-1,0,0,-2,-10,-5,-5,-16,-7,-8,14,18,0,9,-1,1,3,BOS,PHI,2018-10-17
0.0,14,3,-12,-9,-5,-5,1,-4,-3,-13,3,-2,4,-6,2,0,2,24,21,12,-16,1,0,2,2,0,6,CHA,UTA,2018-12-01
1.0,-4,-1,-2,3,7,2,-2,-2,-4,-5,0,0,-9,-5,5,-1,3,-4,-4,-2,1,-42,0,-9,-4,0,1,LAL,MIA,2018-12-11
1.0,4,-5,9,5,17,8,10,0,10,-4,5,-7,-3,-3,6,4,2,-8,7,-4,0,1,-1,3,6,0,0,POR,ORL,2018-11-29
0.0,-3,-1,5,5,-11,-13,-10,-11,-21,8,5,-1,8,-4,15,5,6,-4,-6,-2,-15,-4,0,-6,1,1,5,PHX,OKC,2018-11-18
0.0,20,-13,-3,-9,7,5,10,-23,-13,-13,6,-2,-8,-10,-15,-2,-5,-12,5,-6,-34,-8,0,9,4,0,-1,MIN,MIL,2018-10-27
1.0,-1,8,1,1,0,-2,-1,10,9,-3,5,2,1,1,-7,-6,-2,-16,-17,-8,13,8,0,2,-4,-1,3,POR,MIL,2018-11-07
1.0,2,12,5,3,-8,-3,-2,8,6,3,1,6,1,0,19,0,8,14,-11,7,22,-5,0,3,-7,-2,24,IND,LAC,2019-02-08
0.0,5,-2,3,-4,-1,-4,1,-11,-10,-4,1,3,-1,-1,6,2,3,10,8,5,-17,2,0,2,-2,-1,-5,NOP,SAS,2019-01-26
0.0,8,4,-4,-4,-8,-10,6,6,12,0,-2,5,0,5,5,6,2,10,14,5,10,4,0,7,-2,-1,-3,OKC,BOS,2018-10-26
0.0,0,-11,-2,-5,27,14,5,-8,-3,8,1,1,-9,-2,-5,7,-1,-2,5,-1,-17,2,-1,12,15,-1,-1,UTA,TOR,2018-11-06
1.0,3,7,2,1,-2,-2,3,-3,0,6,0,2,3,-1,1,-2,0,6,-1,3,13,-14,0,-3,-4,0,5,ORL,LAL,2018-11-18
0.0,4,-9,2,2,7,6,6,-6,0,-6,2,-1,-5,1,6,6,2,-20,-2,-10,1,5,0,6,2,0,-8,BKN,UTA,2018-11-29
0.0,6,0,1,1,-11,-6,-5,-5,-10,1,7,0,5,-3,10,4,4,-8,1,-4,-1,-36,1,-4,-1,-1,5,CHI,NOP,2019-02-07
1.0,0,-3,10,-4,15,12,0,-7,-7,-10,7,4,-4,-7,-8,-5,-3,10,-2,5,22,-12,0,8,1,-2,5,HOU,TOR,2019-01-26
1.0,-10,9,-16,-2,16,9,-4,16,12,16,5,5,-3,-4,5,8,2,16,-1,8,18,0,3,3,2,2,-3,PHI,TOR,2018-12-23
1.0,-7,5,-12,-3,-2,-4,-4,0,-4,-4,0,-1,-2,2,1,3,1,14,14,7,1,-10,0,-8,2,1,5,DEN,POR,2019-01-14
0.0,-16,-3,-4,0,1,-1,-9,-1,-10,2,0,4,2,6,9,5,4,0,-8,0,-6,21,-1,-6,-3,0,-6,LAL,OKC,2019-01-03
1.0,8,3,9,2,0,7,1,0,1,-5,3,5,0,-5,15,2,5,10,1,5,2,-18,0,4,-3,0,9,MIL,PHI,2018-10-25
0.0,-6,-8,12,1,7,1,-5,-9,-14,-6,1,-4,-2,0,14,6,3,-10,-11,-5,-17,-2,1,-1,4,-1,-1,PHX,POR,2019-01-25
0.0,-12,-6,-9,-8,-2,1,-3,1,-2,-12,-6,-1,2,11,-11,-5,-5,10,-1,5,-8,0,0,-8,-3,-2,-6,CHI,SAC,2018-12-11
1.0,4,13,12,13,-13,-13,2,9,11,17,-4,-2,3,4,4,1,1,-4,-5,-2,29,15,1,-4,-2,0,-2,SAS,MIN,2018-12-22
